 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 1.75000000e-01  2.50000000e-01  1.75000000e-01  4.22155203e-01 
 1.76000000e-01  2.50000000e-01  1.76000000e-01  4.22541359e-01 
 1.77000000e-01  2.50000000e-01  1.77000000e-01  4.22951720e-01 
 1.78000000e-01  2.50000000e-01  1.78000000e-01  4.23346805e-01 
 1.79000000e-01  2.50000000e-01  1.79000000e-01  4.23775085e-01 
 1.80000000e-01  2.50000000e-01  1.80000000e-01  4.24216194e-01 
 1.81000000e-01  2.50000000e-01  1.81000000e-01  4.24647904e-01 
 1.82000000e-01  2.50000000e-01  1.82000000e-01  4.25116342e-01 
 1.83000000e-01  2.50000000e-01  1.83000000e-01  4.25581922e-01 
 1.84000000e-01  2.50000000e-01  1.84000000e-01  4.26052102e-01 
 1.85000000e-01  2.50000000e-01  1.85000000e-01  4.26551393e-01 
 1.86000000e-01  2.50000000e-01  1.86000000e-01  4.27065005e-01 
 1.87000000e-01  2.50000000e-01  1.87000000e-01  4.27587716e-01 
 1.88000000e-01  2.50000000e-01  1.88000000e-01  4.28123247e-01 
 1.89000000e-01  2.50000000e-01  1.89000000e-01  4.28680633e-01 
 1.90000000e-01  2.50000000e-01  1.90000000e-01  4.29248046e-01 
 1.91000000e-01  2.50000000e-01  1.91000000e-01  4.29830561e-01 
 1.92000000e-01  2.50000000e-01  1.92000000e-01  4.30435830e-01 
 1.93000000e-01  2.50000000e-01  1.93000000e-01  4.31055772e-01 
 1.94000000e-01  2.50000000e-01  1.94000000e-01  4.31687357e-01 
 1.95000000e-01  2.50000000e-01  1.95000000e-01  4.32346278e-01 
 1.96000000e-01  2.50000000e-01  1.96000000e-01  4.33019813e-01 
 1.97000000e-01  2.50000000e-01  1.97000000e-01  4.33706707e-01 
 1.98000000e-01  2.50000000e-01  1.98000000e-01  4.34414522e-01 
 1.99000000e-01  2.50000000e-01  1.99000000e-01  4.35147237e-01 
 2.00000000e-01  2.50000000e-01  2.00000000e-01  4.35904639e-01 
 2.01000000e-01  2.50000000e-01  2.01000000e-01  4.36668789e-01 
 2.02000000e-01  2.50000000e-01  2.02000000e-01  4.37461524e-01 
